id,speed,ball,grouped,SysBias,Amplitude,Theta
05,160,4,2,-11.23759353,19.17657028,2.107708864
07,160,4,2,-18.81705716,12.07610539,-0.688561661
08,160,4,2,-35.9500313,21.41966173,1.340284225
11,160,4,2,-27.79524683,9.392355993,0.804754161
12,160,4,2,-22.9308619,17.39717832,-2.219862005
13,160,4,2,7.35940495,40.83973338,2.281358066
14,160,4,2,3.026650434,37.56051072,1.814165956
15,160,4,2,-3.259295519,9.799844373,-2.591633732
16,160,4,2,-12.89206843,15.24155316,1.135499878
17,160,4,2,-19.83383232,23.11246456,1.226963921
18,160,4,2,-30.83480659,14.56735928,1.907487982
19,160,4,2,-9.952221225,19.01699862,0.983545962
01,240,4,2,-4.209170243,14.67852172,0.498772324
02,240,4,2,-15.10665544,12.02124583,-0.009271981
03,240,4,2,-29.33797422,25.8028517,1.63268688
04,240,4,2,-13.21679755,16.84138044,0.834928079
05,240,4,2,-8.421080447,18.02259177,2.169524589
07,240,4,2,-25.44307359,11.36416687,-0.87587801
08,240,4,2,-35.32845619,19.97552295,0.772032008
11,240,4,2,-25.0743184,12.93806128,0.8667351
12,240,4,2,-25.09678705,10.1619707,-1.74840471
13,240,4,2,8.950297443,31.8230259,2.229102545
14,240,4,2,6.776865856,31.11126911,1.794942116
15,240,4,2,-2.509520265,7.551098551,-2.061029056
16,240,4,2,-11.60149896,12.54620558,0.515352416
17,240,4,2,-20.80819758,19.18495555,1.022068643
18,240,4,2,-21.78619317,6.137067649,0.876848176
19,240,4,2,-8.805946097,22.44328483,1.146706581
01,320,4,2,-8.410149954,9.51573184,0.702418557
02,320,4,2,-17.43283581,6.145031131,1.480582961
03,320,4,2,-29.70901651,17.37097354,1.526931324
04,320,4,2,-14.55861806,10.28509639,0.617994322
05,320,4,2,-15.52957039,18.21832184,1.976760999
07,320,4,2,-14.1323189,14.26694431,-0.856410541
08,320,4,2,-36.58161896,24.67240337,1.391136594
11,320,4,2,-24.74713304,6.871623828,1.437884526
12,320,4,2,-20.56147338,16.61696872,-2.618750318
13,320,4,2,21.33170765,50.03058843,2.580498242
14,320,4,2,-0.181467411,40.846725,1.717400166
15,320,4,2,-11.87960976,6.853086,-2.114239873
16,320,4,2,-7.319360999,18.37520909,1.246692877
17,320,4,2,-20.98395728,29.77029529,1.182177814
18,320,4,2,-17.49835638,18.40404507,0.88964268
19,320,4,2,-11.78923074,17.41277238,1.247623821
